Date,Actual,Predicted
2020-01-01,490.93204020787823,490.87676158467696
2020-01-02,425.8779981600017,433.26266395995583
2020-01-03,466.2522284353982,467.9659112472979
2020-01-04,431.1711076089411,430.0146247850587
2020-01-05,452.0068021177811,448.9957651618882
2020-01-06,454.671027934328,439.8858080306537
2020-01-07,418.48544555255273,411.2870034686056
2020-01-08,496.9584627764559,492.352075066858
2020-01-09,477.5132823361114,488.0845045983006
2020-01-10,493.9498941564189,497.38607705210353
2020-01-11,489.4827350427649,471.8523334891376
