Date,Order_Demand,Order_Demand_Log,STD_7,DayOfWeek,IsWeekend,Month
2023-01-07,0.1118279569892473,0.28157075979634993,0.15113783253769114,0.8333333333333333,1.0,0.0
2023-01-08,0.13118279569892471,0.316949462023042,0.150980734137617,1.0,1.0,0.0
2023-01-09,0.13763440860215054,0.3281783179293891,0.15875268792698685,0.0,0.0,0.0
2023-01-10,0.16559139784946236,0.3739760460243964,0.175384348971155,0.16666666666666666,0.0,0.0
2023-01-11,0.11827956989247312,0.29365978841573903,0.15926816281411316,0.3333333333333333,0.0,0.0
2023-01-12,0.07741935483870965,0.21129964134869472,0.16488895866422448,0.5,0.0,0.0
2023-01-23,0.08817204301075268,0.2343998925762738,0.29935522568556994,0.0,0.0,0.0
2023-01-24,0.06451612903225806,0.18200403648595853,0.27248052141792817,0.16666666666666666,0.0,0.0
2023-01-25,0.062365591397849446,0.1769402317262434,0.23722564689165254,0.3333333333333333,0.0,0.0
2023-01-26,0.04301075268817203,0.12875007190192655,0.2286834472655327,0.5,0.0,0.0
2023-01-27,0.26666666666666666,0.5101823544153474,0.39381383595745195,0.6666666666666666,0.0,0.0
2023-01-28,0.04301075268817203,0.12875007190192655,0.4043544725409418,0.8333333333333333,1.0,0.0
2023-01-29,0.062365591397849446,0.1769402317262434,0.39645819708658653,1.0,1.0,0.0
2023-01-30,0.10967741935483868,0.2774715027449586,0.40281026228972017,0.0,0.0,0.0
2023-01-31,0.11827956989247312,0.29365978841573903,0.40477707689861003,0.16666666666666666,0.0,0.0
2023-02-01,0.9311827956989247,0.9704567739454728,0.9999999999999999,0.3333333333333333,0.0,0.09090909090909091
2023-02-02,0.08387096774193548,0.2252945882686277,0.9641380032435437,0.5,0.0,0.09090909090909091
2023-02-03,0.04301075268817203,0.12875007190192655,0.981328238594355,0.6666666666666666,0.0,0.09090909090909091
2023-02-04,0.0967741935483871,0.25210143956501496,0.9478803142061506,0.8333333333333333,1.0,0.09090909090909091
2023-02-05,0.09247311827956989,0.24333338839730145,0.9302812637647454,1.0,1.0,0.09090909090909091
2023-02-06,0.15913978494623654,0.3637936916090496,0.925329727255718,0.0,0.0,0.09090909090909091
2023-02-07,0.1225806451612903,0.3015509916159298,0.9243775277667406,0.16666666666666666,0.0,0.09090909090909091
2023-02-08,0.11397849462365589,0.28563482965796605,0.1813433600083832,0.3333333333333333,0.0,0.09090909090909091
2023-02-09,0.1075268817204301,0.27333644386877,0.17685681056158747,0.5,0.0,0.09090909090909091
2023-02-10,0.09247311827956989,0.24333338839730145,0.07403694436222907,0.6666666666666666,0.0,0.09090909090909091
2023-02-11,0.08602150537634407,0.2298691285104788,0.08532284513414251,0.8333333333333333,1.0,0.09090909090909091
2023-02-12,0.1075268817204301,0.27333644386877,0.07692347002624306,1.0,1.0,0.09090909090909091
2023-02-13,0.1333333333333333,0.3207220814403644,0.03337154082613161,0.0,0.0,0.09090909090909091
